"ID","Title","Value","Area","type1","type2","type3","type4","type5","type6","Director","Actor","Year"
34951002,"幸福到万家",7.1," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 郑晓龙 刘雪松 姚远 "," 赵丽颖 罗晋",2022
2210236,"济公",8.7," 中国大陆 ","喜剧","奇幻","古装",NA,NA,NA," 张戈 "," 游本昌 吕凉",1985
26333136,"六扇门",7.6," 中国大陆 ","剧情","古装",NA,NA,NA,NA," 刘国辉 黄俊文 "," 林峯 迪丽热巴",2016
35873870,"他是谁",5.6," 中国大陆 ","剧情","悬疑","犯罪",NA,NA,NA," 鲍成志 "," 张译 陈雨锶",2023
35613241,"县委大院",6.7," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 孔笙 毛珺琳 王宏 "," 胡歌 吴越",2022
35981366,"破事精英 第二季",8.6," 中国大陆 ","剧情","喜剧",NA,NA,NA,NA," 韦正 "," 李佳航 成果",2023
2148394,"大头儿子和小头爸爸",8.1," 中国大陆 ","动画",NA,NA,NA,NA,NA," 崔世昱 "," 姚培华 符冲",1995
35924066,"虚颜",7.4," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 曾庆杰 "," 柯颖 丞磊",2022
27191348,"画江湖之不良人3",8," 中国大陆 ","动作","动画","武侠",NA,NA,NA," 周飞龙 "," 边江 申秋香",2018
26358696,"我的前半生",6.4," 中国大陆 ","剧情","家庭",NA,NA,NA,NA," 沈严 "," 靳东 马伊琍",2017
34863327,"我才不要和你做朋友呢",8.1," 中国大陆 ","喜剧","爱情","奇幻",NA,NA,NA," 田宇 "," 陈昊宇 庄达菲",2020
26776350,"河神",8.1," 中国大陆 ","剧情","悬疑",NA,NA,NA,NA," 田里 "," 李现 张铭恩",2017
26818236,"曾少年",7.5," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 王雷 刘畅 傅子恩 "," 张一山 关晓彤",2023
1830586,"天下第一",8.4," 中国大陆 中国香港 中国台湾 ","动作","爱情","古装",NA,NA,NA," 邓衍成 韦丽园 "," 郭晋安 霍建华",2005
5989840,"轩辕剑之天之痕",6.8," 中国大陆 ","动作","爱情","奇幻","古装",NA,NA," 李国立 "," 胡歌 蒋劲夫",2012
26461145,"一把青",9.2," 中国台湾 ","剧情","爱情",NA,NA,NA,NA," 曹瑞原 "," 杨谨华 天心",2015
30157168,"烈火军校",6.6," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 惠楷栋 "," 白鹿 许凯",2019
27008416,"致我们单纯的小美好",7.1," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 唐彬 杨龙 "," 胡一天 沈月",2017
30176770,"下一站是幸福",5.9," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 丁梓光 "," 宋茜 宋威龙",2020
27069428,"有翡",5.6," 中国大陆 ","剧情","武侠","古装",NA,NA,NA," 吴锦源 "," 赵丽颖 王一博",2020
35131244,"国子监来了个女弟子",3.9," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 许珮珊 "," 赵露思 徐开骋",2021
3732699,"神话",7.7," 中国大陆 ","剧情","动作","奇幻",NA,NA,NA," 蒋家骏 "," 胡歌 白冰",2010
34429670,"胆小鬼",7.7," 中国大陆 ","剧情","悬疑",NA,NA,NA,NA," 张晓波 "," 欧豪 王砚辉",2022
35905951,"那些回不去的年少时光",8.2," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 王志勇 "," 赵今麦 白宇帆",2023
35539600,"追光的日子",8," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 韩天 苏浩旗 "," 郭京飞 任敏",2023
35180907,"谁是凶手",6.1," 中国大陆 ","悬疑","犯罪",NA,NA,NA,NA," 孙皓 "," 赵丽颖 肖央",2021
26605881,"大军师司马懿之军师联盟",8.2," 中国大陆 ","剧情","爱情","战争","古装",NA,NA," 张永新 "," 吴秀波 刘涛",2017
2157176,"放羊的星星",8.1," 中国台湾 ","爱情",NA,NA,NA,NA,NA," 陈铭章 "," 林志颖 刘荷娜",2007
26803835,"画江湖之不良人II",8," 中国大陆 ","剧情","动画","武侠",NA,NA,NA," 关心 "," 边江 申秋香",2016
2327493,"宝莲灯",7.8," 中国大陆 ","剧情","奇幻","古装",NA,NA,NA," 余明生 "," 曹骏 舒畅",2005
26776531,"热血长安",6.5," 中国大陆 ","悬疑","古装",NA,NA,NA,NA," 王骏晔 "," 徐海乔 鞠婧祎",2017
35096882,"与君歌",5.6," 中国大陆 ","爱情","悬疑","古装",NA,NA,NA," 刘国楠 赵立军 "," 成毅 张予曦",2021
35152536,"爱的二八定律",5.8," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 林妍 "," 杨幂 许凯",2022
35359490,"重生之门",6.7," 中国大陆 ","悬疑","犯罪",NA,NA,NA,NA," 杨冬 "," 张译 王俊凯",2022
30313969,"斗罗大陆",6.4," 中国大陆 ","古装",NA,NA,NA,NA,NA," 杨振宇 "," 肖战 吴宣仪",2021
2411184,"汉武大帝",9.2," 中国大陆 ","剧情","历史","古装",NA,NA,NA," 胡玫 "," 陈宝国 焦晃",2005
25937995,"大秧歌",6.9," 中国大陆 ","剧情","战争",NA,NA,NA,NA," 郭靖宇 柏杉 刘礴 巨兴茂 "," 杨志刚 杨紫",2015
30258233,"天雷一部之春花秋月",6.2," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 黄纯 "," 李宏毅 赵露思",2019
